Date:	05.01.2020 18:09:39
Tool:	Eeschema (5.1.2)-2
Component Count:	69
Ref	Value	Part	Footprint	Description	Vendor
U7	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U8	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U9	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U10	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U11	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U12	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U13	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U14	AH3572	McuOnEclipse:AH3572	McuOnEclipse:SOT-23_2T	AH3572 Omnipolar hall effect sensor from Diodes Incorporated	
U15	RS485_PWR_4pin	McuOnEclipse:RS485_PWR_4pin	McuOnEclipse:PhoenixContact_MC-G_04x3.81mm_Angled	Connector for a 'green' PCB connector with added power pin	
U16	SN65HVD72	McuOnEclipse:SN65HVD72	Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm	RS-485 driver	
U17	XC6206-3.3V	McuOnEclipse:XC6206-3.3V	TO_SOT_Packages_SMD:SOT-23	Torex XC6206 Series positive voltage regulators	
U18	LPC845M301JBD48E	McuOnEclipse:LPC845M301JBD48E	Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm	NXP LPC845 in LQFP48 package	
U19	SWD_JTAG_10pin	McuOnEclipse:SWD_JTAG_10pin	Pin_Headers:Pin_Header_Straight_2x05_Pitch1.27mm_SMD	10pin 1.27pitch SWD/JTAG Header	
